,Date,Average_Iron_Ore_Price,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
1153,2010Q1,135.56666666666666,Samson,535000,4.0,2,6163,Perth
1155,2010Q1,135.56666666666666,North Lake,680000,4.0,2,6163,Perth
1160,2010Q1,135.56666666666666,Coolbinia,1095000,4.0,2,6050,Perth
1163,2010Q1,135.56666666666666,Cardup,795000,4.0,2,6122,Perth
1169,2010Q1,135.56666666666666,Mahogany Creek,695000,4.0,2,6072,Perth
1171,2010Q1,135.56666666666666,Karnup,1100000,4.0,2,6176,Perth
1174,2010Q1,135.56666666666666,Hazelmere,624000,4.0,2,6055,Perth
1178,2010Q1,135.56666666666666,Mariginiup,1175000,4.0,2,6078,Perth
1183,2010Q2,152.33333333333334,Jolimont,1275000,4.0,2,6014,Perth
1186,2010Q2,152.33333333333334,Darling Downs,850000,4.0,2,6122,Perth
1187,2010Q2,152.33333333333334,Samson,610000,4.0,2,6163,Perth
1190,2010Q2,152.33333333333334,Samson,670000,4.0,2,6163,Perth
1194,2010Q2,152.33333333333334,Jarrahdale,260000,4.0,2,6124,Perth
1195,2010Q2,152.33333333333334,Karawara,775000,4.0,2,6152,Perth
1201,2010Q2,152.33333333333334,Murdoch,630000,4.0,2,6150,Perth
1202,2010Q2,152.33333333333334,Cardup,887500,4.0,2,6122,Perth
1204,2010Q2,152.33333333333334,Kiara,425000,4.0,2,6054,Perth
1205,2010Q2,152.33333333333334,Brigadoon,900000,4.0,2,6069,Perth
1207,2010Q2,152.33333333333334,Woodbridge,825000,4.0,2,6056,Perth
1208,2010Q2,152.33333333333334,Kiara,420000,4.0,2,6054,Perth
1213,2010Q2,152.33333333333334,Viveash,499000,4.0,2,6056,Perth
1214,2010Q2,152.33333333333334,Viveash,805000,4.0,2,6056,Perth
1217,2010Q2,152.33333333333334,Kiara,475000,4.0,2,6054,Perth
1219,2010Q2,152.33333333333334,Viveash,575000,4.0,2,6056,Perth
1222,2010Q2,152.33333333333334,Hazelmere,720000,4.0,2,6055,Perth
1223,2010Q2,152.33333333333334,Champion Lakes,185000,4.0,2,6111,Perth
1227,2010Q2,152.33333333333334,Karawara,880000,4.0,2,6152,Perth
1232,2010Q2,152.33333333333334,Ashfield,515000,4.0,2,6054,Perth
1233,2010Q2,152.33333333333334,Coolbinia,1100000,4.0,2,6050,Perth
1235,2010Q2,152.33333333333334,Casuarina,1200000,4.0,2,6167,Perth
1239,2010Q2,152.33333333333334,Hillman,385000,4.0,2,6168,Perth
1244,2010Q2,152.33333333333334,Gnangara,1990000,4.0,2,6077,Perth
1248,2010Q3,139.63333333333333,Waterford,1225800,4.0,2,6152,Perth
1249,2010Q3,139.63333333333333,Casuarina,815000,4.0,2,6167,Perth
1253,2010Q3,139.63333333333333,Herne Hill,825000,4.0,2,6056,Perth
1255,2010Q3,139.63333333333333,Jolimont,1455000,4.0,2,6014,Perth
1257,2010Q3,139.63333333333333,Sawyers Valley,665000,4.0,2,6074,Perth
1261,2010Q3,139.63333333333333,Orange Grove,1200000,4.0,2,6109,Perth
1262,2010Q3,139.63333333333333,Coolbinia,1320000,4.0,2,6050,Perth
1263,2010Q3,139.63333333333333,Walliston,800000,4.0,2,6076,Perth
1272,2010Q3,139.63333333333333,Casuarina,750000,4.0,2,6167,Perth
1273,2010Q3,139.63333333333333,Murdoch,570000,4.0,2,6150,Perth
1276,2010Q3,139.63333333333333,Kiara,435000,4.0,2,6054,Perth
1279,2010Q3,139.63333333333333,Daglish,1200000,4.0,2,6008,Perth
1280,2010Q3,139.63333333333333,Jolimont,830000,4.0,2,6014,Perth
1282,2010Q3,139.63333333333333,Orange Grove,830000,4.0,2,6109,Perth
1285,2010Q3,139.63333333333333,Walliston,1730000,4.0,2,6076,Perth
1287,2010Q3,139.63333333333333,Kiara,451000,4.0,2,6054,Perth
